epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,662.188,1.48864,1.25455,1.06345,0.77266,0.51727,0.64646,0.36134,1.60361,1.75795,1.15866,0.000759318,0.000759318,0.000759318
57,675.726,1.37475,1.19491,1.05424,0.77266,0.51727,0.64646,0.36134,1.60361,1.75795,1.15866,0.000742815,0.000742815,0.000742815
58,690.578,1.45701,1.19399,1.0705,0.8692,0.58828,0.71338,0.37588,1.63551,1.68321,1.16272,0.000726312,0.000726312,0.000726312
59,704.153,1.31119,1.12851,1.04598,0.8692,0.58828,0.71338,0.37588,1.63551,1.68321,1.16272,0.000709809,0.000709809,0.000709809
60,717.78,1.4785,1.18543,1.09996,0.81748,0.64296,0.7211,0.38918,1.59828,1.61638,1.14041,0.000693305,0.000693305,0.000693305
61,731.941,1.33511,1.12365,1.03475,0.81748,0.64296,0.7211,0.38918,1.59828,1.61638,1.14041,0.000676802,0.000676802,0.000676802
62,747.92,1.37474,1.13347,1.07819,0.75985,0.6357,0.70912,0.38674,1.60762,1.59696,1.15062,0.000660299,0.000660299,0.000660299
63,766.4,1.39203,1.14289,1.07728,0.75985,0.6357,0.70912,0.38674,1.60762,1.59696,1.15062,0.000643795,0.000643795,0.000643795
64,780.99,1.32656,1.08999,1.02697,0.7926,0.63567,0.717,0.3793,1.65681,1.56904,1.18223,0.000627292,0.000627292,0.000627292
65,797.745,1.37435,1.08099,1.02149,0.7926,0.63567,0.717,0.3793,1.65681,1.56904,1.18223,0.000610789,0.000610789,0.000610789
66,813.181,1.49828,1.22694,1.15051,0.7993,0.61549,0.71938,0.37186,1.662,1.4864,1.1904,0.000594286,0.000594286,0.000594286
67,829.502,1.41123,1.0857,1.05517,0.7993,0.61549,0.71938,0.37186,1.662,1.4864,1.1904,0.000577782,0.000577782,0.000577782
68,850.348,1.40353,1.24599,1.12962,0.77098,0.64315,0.72914,0.38844,1.6331,1.41703,1.18027,0.000561279,0.000561279,0.000561279
69,866.41,1.47845,1.27489,1.08836,0.77098,0.64315,0.72914,0.38844,1.6331,1.41703,1.18027,0.000544776,0.000544776,0.000544776
70,880.492,1.26997,1.10414,1.04974,0.74466,0.67034,0.74625,0.40882,1.59732,1.38559,1.17249,0.000528272,0.000528272,0.000528272
71,893.835,1.24173,0.98332,1.06787,0.74466,0.67034,0.74625,0.40882,1.59732,1.38559,1.17249,0.000511769,0.000511769,0.000511769
72,910.238,1.30703,1.09596,1.05183,0.72585,0.68838,0.74358,0.40493,1.59177,1.37139,1.16534,0.000495266,0.000495266,0.000495266
73,925.55,1.2782,1.14396,1.03122,0.72585,0.68838,0.74358,0.40493,1.59177,1.37139,1.16534,0.000478762,0.000478762,0.000478762
74,942.966,1.32457,1.08616,1.04502,0.69802,0.70034,0.74303,0.4011,1.5745,1.3611,1.15293,0.000462259,0.000462259,0.000462259
75,958.77,1.37911,1.18523,1.06298,0.69802,0.70034,0.74303,0.4011,1.5745,1.3611,1.15293,0.000445756,0.000445756,0.000445756
76,973.792,1.37258,1.07295,1.01791,0.71475,0.71378,0.75152,0.42172,1.51057,1.31718,1.13166,0.000429253,0.000429253,0.000429253
77,986.783,1.61344,1.32652,1.09999,0.71475,0.71378,0.75152,0.42172,1.51057,1.31718,1.13166,0.000412749,0.000412749,0.000412749
78,1002.74,1.19215,0.96104,0.99625,0.70917,0.72662,0.77726,0.4597,1.4467,1.2519,1.10708,0.000396246,0.000396246,0.000396246
79,1016.76,1.3945,1.1911,1.08033,0.70917,0.72662,0.77726,0.4597,1.4467,1.2519,1.10708,0.000379743,0.000379743,0.000379743
80,1030.04,1.21753,1.03198,1.06233,0.74948,0.73947,0.79166,0.47964,1.42733,1.20365,1.09425,0.000363239,0.000363239,0.000363239
81,1043.68,1.22134,1.01117,1.01197,0.74948,0.73947,0.79166,0.47964,1.42733,1.20365,1.09425,0.000346736,0.000346736,0.000346736
82,1057.06,1.26672,1.07711,1.02262,0.74977,0.747,0.80085,0.48498,1.40182,1.17265,1.07984,0.000330233,0.000330233,0.000330233
83,1070.03,1.14962,0.96414,0.99488,0.74977,0.747,0.80085,0.48498,1.40182,1.17265,1.07984,0.000313729,0.000313729,0.000313729
84,1082.98,1.39481,1.14792,1.04563,0.77144,0.73207,0.80113,0.48167,1.41024,1.15158,1.07869,0.000297226,0.000297226,0.000297226
85,1095.58,1.17242,1.01737,1.02131,0.77144,0.73207,0.80113,0.48167,1.41024,1.15158,1.07869,0.000280723,0.000280723,0.000280723
86,1108.77,1.17805,0.93045,0.9977,0.7403,0.76938,0.79147,0.46465,1.41867,1.14953,1.08116,0.00026422,0.00026422,0.00026422
87,1121.55,1.36213,1.11898,1.05234,0.7403,0.76938,0.79147,0.46465,1.41867,1.14953,1.08116,0.000247716,0.000247716,0.000247716
88,1135.45,1.25948,1.05547,1.00792,0.7718,0.75082,0.80031,0.46613,1.41854,1.14458,1.08114,0.000231213,0.000231213,0.000231213
89,1151.39,1.24877,1.03836,1.00799,0.7718,0.75082,0.80031,0.46613,1.41854,1.14458,1.08114,0.00021471,0.00021471,0.00021471
90,1167.02,1.19751,0.92391,0.99705,0.85371,0.68521,0.80146,0.47366,1.40083,1.13388,1.07777,0.000198206,0.000198206,0.000198206
91,1183.41,1.23265,1.07988,1.03316,0.85371,0.68521,0.80146,0.47366,1.40083,1.13388,1.07777,0.000181703,0.000181703,0.000181703
92,1199.02,1.22104,1.04334,1.02271,0.81357,0.72124,0.80511,0.47268,1.39221,1.12855,1.07579,0.0001652,0.0001652,0.0001652
93,1213.31,1.14053,0.95089,1.00066,0.81357,0.72124,0.80511,0.47268,1.39221,1.12855,1.07579,0.000148696,0.000148696,0.000148696
94,1227.12,1.23602,1.07109,1.02557,0.797,0.7489,0.80681,0.47386,1.41004,1.12673,1.08035,0.000132193,0.000132193,0.000132193
95,1240.87,1.19431,1.00363,1.02491,0.797,0.7489,0.80681,0.47386,1.41004,1.12673,1.08035,0.00011569,0.00011569,0.00011569
96,1253.92,1.3319,1.20137,1.05551,0.77633,0.77369,0.81591,0.47175,1.43509,1.12916,1.08442,9.91865e-05,9.91865e-05,9.91865e-05
97,1266.17,1.21198,1.07922,0.9819,0.77633,0.77369,0.81591,0.47175,1.43509,1.12916,1.08442,8.26832e-05,8.26832e-05,8.26832e-05
98,1278.4,1.13895,1.04311,1.01986,0.75654,0.76602,0.81024,0.4575,1.46076,1.13361,1.09127,6.61799e-05,6.61799e-05,6.61799e-05
99,1293.49,1.14903,0.97938,1.00049,0.75654,0.76602,0.81024,0.4575,1.46076,1.13361,1.09127,4.96766e-05,4.96766e-05,4.96766e-05
100,1305.93,1.2576,1.03536,1.01507,0.78117,0.76262,0.81443,0.45371,1.47852,1.12947,1.1004,3.31733e-05,3.31733e-05,3.31733e-05
